Step,Selected_Feature,Recall,Precision,F1_Score
1,day,0.3333333333333333,0.303030303030303,0.31745704013876364
2,CCI,0.3471793961408731,0.4035467796918262,0.3422462052247986
3,MACD_Signal,0.36771014727698553,0.5032813607612605,0.37836739409646103
4,A/D_Oscillator,0.383554910449993,0.5326907140603804,0.40148128465525595
5,Momentum,0.38601576652348885,0.4752025379775061,0.40250730008086144
6,Stochastic_K,0.40126123547923653,0.4870068388576594,0.4222382698625921
7,day_of_week,0.3965506761175144,0.4936006998901929,0.4146083362740658
8,MACD,0.3947025609106205,0.4877006365545622,0.4133729514627148
9,Stochastic_D,0.38391652209333726,0.44112355980518225,0.39565444310690256
10,RSI,0.4010340815418039,0.4862166089490748,0.419726292430907
11,SMA,0.39933674889293563,0.5160851174044259,0.4175016086062112
12,year,0.4045553514397825,0.4480008112186004,0.4140146681519747
13,month,0.4102611611310351,0.49803837678506246,0.4251930750545186
14,WMA,0.38339844357064307,0.4034963027708002,0.3864976401413397
15,Williams_R,0.38221956938449037,0.4063169661840863,0.3867069384564027
